NMec = 2020
T = 21
P = 7
Profits not ignored
Solution time = 1.350e-02
Viable tasks = 462098
Total Profit = 21536
Task     Starting date     Ending date     Profit 
1               0              12           1724
2               0              17           3140
3               3              15           1228
4               4              10           1005
5               5              16           1695
6               5              20           2192
7               5              21           2021
8               7              14            626
9               7              16           1954
10              7              23           2826
11              9              23           1651
12              9              26           3277
13             10              18           2133
14             12              26           2151
15             12              29           2127
16             13              17            909
17             13              26           2851
18             13              29           1969
19             15              20            604
20             15              24           1744
21             15              26            855
End
