NMec = 2020
T = 15
P = 3
Profits not ignored
Solution time = 9.151e-05
Viable tasks = 4491
Total Profit = 24651
Task     Starting date     Ending date     Profit 
1               0              19           2681
2               1               7           1783
3               1              13            951
4               1              44           3454
5               3              49           6750
6               5              13           1089
7               6               9            434
8              10              27           2636
9              10              30           5765
10             12              35           3327
11             22              41           5805
12             26              34           1730
13             28              41           1827
14             28              48           4996
15             33              35            459
End
