NMec = 2020
T = 21
P = 4
Profits not ignored
Solution time = 7.708e-03
Viable tasks = 379340
Total Profit = 33744
Task     Starting date     Ending date     Profit 
1               0              14           3113
2               2              24           3484
3               3              15           1233
4               5              42           8127
5               5              47           4241
6               8              16            801
7              10              37           4001
8              12              22           1188
9              14              34           5075
10             16              22           1158
11             23              46           4884
12             24              29            501
13             25              32            954
14             27              45           5353
15             29              42           1696
16             34              39            665
17             34              42           2112
18             37              52           1773
19             38              49           1094
20             40              52           2025
21             45              48            525
End
