NMec = 2020
T = 10
P = 8
Profits not ignored
Solution time = 2.516e-05
Viable tasks = 1022
Total Profit = 20984
Task     Starting date     Ending date     Profit 
1               1              18           2311
2               5              26           3403
3               6              24           2136
4               7              25           2998
5               8              20           1008
6               8              25           1678
7               8              27           3444
8              10              15           1181
9              14              22           1972
10             20              27           1861
End
