NMec = 2020
T = 16
P = 4
Profits not ignored
Solution time = 5.568e-04
Viable tasks = 19842
Total Profit = 21380
Task     Starting date     Ending date     Profit 
1               0               7            945
2               2              20           2054
3               2              22           5327
4               3              12           1723
5               4              22           2614
6               5              18           3947
7               5              22           4679
8               6              13           1087
9              10              19           1102
10             10              29           2555
11             11              19           1103
12             17              34           2074
13             20              28           2067
14             22              26            678
15             27              31            574
16             27              33            989
End
