NMec = 2020
T = 23
P = 5
Profits not ignored
Solution time = 2.590e-02
Viable tasks = 985196
Total Profit = 37447
Task     Starting date     Ending date     Profit 
1               0              18           4354
2               1               8           1459
3               2              44           6781
4               5              21           2447
5               7              22           4020
6               7              25           2954
7              12              26           2015
8              12              44           8010
9              13              16            465
10             13              23           1220
11             13              30           1357
12             15              32           4417
13             16              26           2004
14             17              21            792
15             17              30           3125
16             20              33           2737
17             21              42           2260
18             23              29           1234
19             23              41           4746
20             26              34           1048
21             27              35           2087
22             31              34            575
23             33              41            923
End
