NMec = 2020
T = 31
P = 8
Profits not ignored
Solution time = 8.308e+00
Viable tasks = 424320359
Total Profit = 43279
Task     Starting date     Ending date     Profit 
1               0              15           4314
2               0              15           1926
3               0              22           3432
4               2              29           5164
5               4              15           2878
6               4              16           3350
7               5              11           1104
8               8              15            696
9               8              16            847
10              8              32           4424
11              9              23           3944
12              9              27           2829
13              9              36           3270
14             10              29           2938
15             13              18           1107
16             13              27           3327
17             14              25           2474
18             14              28           2783
19             15              34           4087
20             17              25           1035
21             17              29           1171
22             19              26            543
23             22              25            796
24             22              33           2304
25             23              29            467
26             23              37           2491
27             24              28            400
28             24              29            509
29             24              34           1778
30             28              35           1178
31             29              36           1000
End
