NMec = 2020
T = 26
P = 5
Profits not ignored
Solution time = 1.404e-01
Viable tasks = 9357752
Total Profit = 28409
Task     Starting date     Ending date     Profit 
1               1              20           2665
2               4              17           3383
3               5              18           2311
4               5              25           3209
5               6              39           2976
6               7              12           1431
7               8              21           1190
8              10              24           2611
9              14              30           1112
10             18              30           1938
11             18              34           1560
12             18              40           2250
13             19              28           1646
14             19              34           1559
15             20              40           2371
16             24              31            879
17             26              49           2521
18             27              36            982
19             27              40           2758
20             28              31            793
21             32              34            260
22             33              37           1172
23             33              46            881
24             34              48           1523
25             42              45            315
26             48              51            597
End
