NMec = 2020
T = 10
P = 2
Profits not ignored
Solution time = 5.959e-06
Viable tasks = 212
Total Profit = 13125
Task     Starting date     Ending date     Profit 
1               0              33           7172
2               7              17           2097
3              11              18           1183
4              12              23           2526
5              13              32           1909
6              16              38           2616
7              25              37           1889
8              27              28            156
9              29              39           2619
10             37              40            652
End
