NMec = 2020
T = 22
P = 7
Profits not ignored
Solution time = 1.376e-02
Viable tasks = 664662
Total Profit = 28617
Task     Starting date     Ending date     Profit 
1               0              11           1182
2               0              18           2489
3               1              26           3369
4               3              15           1243
5               3              23           3431
6               4              22           1377
7               4              25           1545
8               5              24           4020
9               6              17           2096
10              6              31           3448
11              7              25           2033
12              8              16           1197
13              9              21           1833
14              9              26           2057
15             10              28           2811
16             10              31           5455
17             11              20           2120
18             12              24           2300
19             14              27           1442
20             14              27           2591
21             18              25           1971
22             25              31           1054
End
