NMec = 2020
T = 5
P = 1
Profits not ignored
Solution time = 2.267e-06
Viable tasks = 8
Total Profit = 5149
Task     Starting date     Ending date     Profit 
1               1               7            635
2               2               8           1806
3               3              17           1307
4               3              21           1822
5              12              23           3343
6               9               0              0
7               1               0     -645748248
8     -2055287212           32764     -646037288
9      -645748248           32642     -645745416
End
