NMec = 2020
T = 26
P = 8
Profits not ignored
Solution time = 1.886e-01
Viable tasks = 8349217
Total Profit = 31632
Task     Starting date     Ending date     Profit 
1               0              10            893
2               1              19           3036
3               1              23           2149
4               2              23           2537
5               3              26           5562
6               4              16           1225
7               4              19           3253
8               4              22           3511
9               6               9            307
10              6              24           2124
11              7              31           1878
12              8              27           2620
13              8              30           3646
14              9              19           1013
15              9              23           3069
16              9              29           2251
17              9              32           4429
18             11              16           1131
19             11              30           3145
20             12              23           1967
21             12              25           2409
22             13              20            963
23             13              25           1017
24             14              24            847
25             17              20            631
26             23              28           1088
End
