NMec = 2020
T = 26
P = 6
Profits not ignored
Solution time = 1.168e-01
Viable tasks = 4458616
Total Profit = 38442
Task     Starting date     Ending date     Profit 
1               1               8           1090
2               3               7            796
3               4              15            849
4               6              18           1659
5               6              40           5358
6               6              41           7189
7               7              20           1631
8               7              30           3234
9              10              38           7635
10             12              29           2552
11             13              22           1230
12             13              30           3590
13             13              34           4215
14             16              19            535
15             16              24           2280
16             16              28           1855
17             17              40           4112
18             17              41           2604
19             18              29           1223
20             18              33           2965
21             20              29           1310
22             21              37           2839
23             24              35           1273
24             26              29            496
25             26              42           4532
26             28              42           1676
End
