NMec = 2020
T = 15
P = 6
Profits not ignored
Solution time = 2.802e-04
Viable tasks = 15460
Total Profit = 20430
Task     Starting date     Ending date     Profit 
1               1              26           2271
2               2              17           2304
3               3              11           1432
4               5              14           1246
5               5              25           3099
6               6              28           2506
7               7              15           2100
8               7              20           1846
9               7              27           4269
10              9              23           1848
11              9              28           3854
12             11              29           3525
13             12              21           1307
14             14              28           1494
15             27              29            251
End
