NMec = 2020
T = 26
P = 1
Profits not ignored
Solution time = 1.420e-03
Viable tasks = 84264
Total Profit = 32175
Task     Starting date     Ending date     Profit 
1              15              35           3680
2              32              47           1340
3              38              98          11301
4              50             212          13025
5              64              78           1425
6              68              76           1282
7              71              84           1898
8              85             111           2799
9              87              89            594
10             90             104           3086
11            102             148           3891
12            109             122           2598
13            113             130           3668
14            129             139           2524
15            156             172           3146
16            164             176           1533
17            167             184           1809
18            173             179           1713
19            177             185           1200
20            187             198            835
21            189             205           3318
22            203             222           2110
23            214             224           1057
24            219             229           1852
25            227             243           2386
26            240             256           2043
End
