NMec = 2020
T = 18
P = 4
Profits not ignored
Solution time = 1.948e-03
Viable tasks = 101744
Total Profit = 23322
Task     Starting date     Ending date     Profit 
1               0              16           1893
2               2              24           3033
3               3               8            573
4               8              23           1259
5               8              33           4026
6               9              13            469
7              18              25           1358
8              20              26            953
9              20              30           1152
10             22              29            897
11             22              32            953
12             25              44           4976
13             26              35           1325
14             27              44           2751
15             29              42           2085
16             33              36            552
17             33              37            879
18             35              39           1205
End
