NMec = 2020
T = 22
P = 2
Profits not ignored
Solution time = 2.429e-03
Viable tasks = 158098
Total Profit = 23247
Task     Starting date     Ending date     Profit 
1               1              11           2642
2               3              16           1344
3               6              30           2106
4              14              35           2314
5              20              28           1960
6              26              46           4316
7              27              30            405
8              31              39            870
9              31              43           1870
10             34              44           1652
11             37              55           2434
12             40              54           1606
13             41              54           2085
14             46              69           4897
15             50              61           1390
16             50              72           3850
17             52              58           1205
18             61              69           1592
19             68              83           1976
20             78              83            591
21             83              93           1544
22             90              92            233
End
