NMec = 2020
T = 20
P = 3
Profits not ignored
Solution time = 2.079e-03
Viable tasks = 70394
Total Profit = 27364
Task     Starting date     Ending date     Profit 
1               2               6            438
2               6              66           8130
3              10              62           4502
4              11              33           2194
5              12              17            875
6              12              18           1723
7              12              21           1216
8              20              37           1194
9              21              30           1804
10             25              66           7296
11             26              52           3859
12             27              36           1146
13             28              34           1325
14             34              38            909
15             41              64           5848
16             42              51           1310
17             42              53           1705
18             43              63           4408
19             45              62           3074
20             48              51            293
End
