NMec = 2020
T = 23
P = 8
Profits not ignored
Solution time = 5.043e-02
Viable tasks = 1968509
Total Profit = 37089
Task     Starting date     Ending date     Profit 
1               1              29           7793
2               2              12           1462
3               2              24           4793
4               2              26           5167
5               2              28           2915
6               3              27           3884
7               3              29           4547
8               5              18           1006
9               6              19           2284
10              7              14           1408
11              7              15           1348
12              7              24           2253
13              7              29           1545
14              9              22           1405
15              9              26           1648
16             10              16           1742
17             12              23           1345
18             12              27           2003
19             12              27           2461
20             15              28           3451
21             16              22            732
22             16              22            758
23             22              28            793
End
