NMec = 2020
T = 19
P = 5
Profits not ignored
Solution time = 3.808e-03
Viable tasks = 165826
Total Profit = 24031
Task     Starting date     Ending date     Profit 
1               1               8            768
2               1              14           1028
3               3              19           2427
4               4              10            806
5               4              11           1574
6               4              22           2147
7               7               8            472
8               9              27           5109
9              11              35           5654
10             12              33           2871
11             13              14            357
12             13              32           1861
13             13              36           2884
14             14              34           3019
15             16              32           2622
16             18              37           2312
17             19              27           1013
18             19              29           2250
19             26              33           1024
End
