NMec = 2020
T = 8
P = 3
Profits not ignored
Solution time = 6.700e-06
Viable tasks = 138
Total Profit = 13478
Task     Starting date     Ending date     Profit 
1               0              10           2782
2               0              11           1596
3               3              22           3648
4               7              23           1908
5               7              26           2413
6              10              20           2331
7              14              29           2452
8              15              29           3000
9       638499304           32590      638502136
End
