NMec = 2020
T = 22
P = 3
Profits not ignored
Solution time = 1.069e-02
Viable tasks = 730568
Total Profit = 23927
Task     Starting date     Ending date     Profit 
1               7              14           1099
2               7              25           2936
3               9              28           1588
4              13              27           1447
5              16              26           1294
6              17              31           1577
7              18              44           4556
8              19              36           2447
9              22              44           1569
10             32              48           1583
11             33              43           1905
12             34              44            856
13             39              56           2696
14             41              44            437
15             46              48            204
16             49              56           2228
17             50              57            911
18             51              60           1291
19             55              61            618
20             59              70           1488
21             60              72           2339
22             62              66            738
End
