NMec = 2020
T = 25
P = 4
Profits not ignored
Solution time = 7.316e-02
Viable tasks = 3777192
Total Profit = 31119
Task     Starting date     Ending date     Profit 
1               4              18           3262
2               4              19           2966
3               4              61           5850
4               7              29           3706
5               8              18           1452
6              10              19           1292
7              13              16            788
8              14              38           2778
9              15              23           1168
10             15              24           1587
11             15              29           1659
12             28              36           2596
13             28              42           1930
14             29              37           1845
15             30              37           1060
16             34              48           3487
17             40              49           1121
18             40              52           2199
19             41              46            404
20             42              52           1207
21             42              56           3102
22             44              56           2579
23             46              57           1799
24             50              56            766
25             52              61           1641
End
