NMec = 2020
T = 28
P = 5
Profits not ignored
Solution time = 2.571e-01
Viable tasks = 13458586
Total Profit = 38550
Task     Starting date     Ending date     Profit 
1               0              41           6073
2               0              55           8324
3               2              41           5129
4               6              15           2034
5              10              15           1111
6              10              21           2692
7              11              16            598
8              13              30           1854
9              18              38           2714
10             18              46           5119
11             19              37           2287
12             22              34           1714
13             23              46           4451
14             25              36            865
15             25              38           3499
16             25              47           3666
17             27              37           1090
18             29              36           1816
19             31              37           1111
20             32              44           1055
21             33              40            859
22             36              52           1871
23             37              40            665
24             38              48           2570
25             41              51           2779
26             41              53           1714
27             44              47            289
28             44              55           2062
End
