NMec = 2020
T = 18
P = 6
Profits not ignored
Solution time = 1.366e-03
Viable tasks = 66495
Total Profit = 22545
Task     Starting date     Ending date     Profit 
1               0               8           1032
2               1              18           2689
3               2              22           4861
4               2              24           2494
5               3              16           3075
6               3              24           2775
7               4              16           2005
8               5              25           2692
9               7              29           3143
10              8              23           1592
11              8              29           1588
12              9              15           1986
13              9              19           1346
14              9              21           2330
15             11              19           2148
16             12              26           1799
17             16              29           1481
18             20              28           1500
End
