NMec = 2020
T = 27
P = 6
Profits not ignored
Solution time = 2.565e-01
Viable tasks = 12970226
Total Profit = 41954
Task     Starting date     Ending date     Profit 
1               0              38           5432
2               0              42           4431
3               1              40           6773
4               1              43           6966
5               3               6           1045
6               4              15           1372
7               5              21           2319
8               6              23           2924
9               7              23            974
10              7              31           3485
11              8              25           1517
12             10              26           3182
13             12              18           1480
14             12              18            847
15             12              31           3630
16             14              27           1417
17             17              29           3415
18             18              42           3804
19             20              25           1001
20             22              26            786
21             22              32           1636
22             24              30           1275
23             24              44           4794
24             26              43           4363
25             30              40           2147
26             32              38           1817
27             32              44           2044
End
