NMec = 2020
T = 15
P = 8
Profits not ignored
Solution time = 5.467e-04
Viable tasks = 32704
Total Profit = 18905
Task     Starting date     Ending date     Profit 
1               1               7            895
2               1              24           2045
3               1              27           2048
4               2               9            815
5               2              19           1715
6               4              10            961
7               4              22           1855
8               5              21           1305
9               8              20           1772
10             11              22           1483
11             12              26           1676
12             14              28           1951
13             21              24            683
14             22              27            581
15             25              27            425
End
