NMec = 2020
T = 23
P = 6
Profits not ignored
Solution time = 8.218e-02
Viable tasks = 3931886
Total Profit = 31786
Task     Starting date     Ending date     Profit 
1               0               4            789
2               1              26           3742
3               3              20           2448
4               4              23           2071
5               6               9            694
6               6              16           1150
7               7              11           1441
8               8              29           3711
9               9              24           1426
10              9              38           5229
11             15              28           2502
12             16              24           2214
13             19              29           2227
14             20              37           4718
15             21              37           1835
16             22              36           1604
17             24              37            811
18             25              29            877
19             25              31           1339
20             27              36            874
21             28              37           1116
22             30              35           1608
23             33              37            446
End
