NMec = 2020
T = 25
P = 3
Profits not ignored
Solution time = 1.834e-02
Viable tasks = 721390
Total Profit = 39540
Task     Starting date     Ending date     Profit 
1               3              82          10978
2               4              28           3690
3               4              76           9607
4               7              10            875
5               9              22           3251
6              12              26           2960
7              14              38           2181
8              15              17            413
9              17              80          16202
10             18              21            379
11             21              33           2052
12             31              40           1336
13             36              50           1083
14             39              42            639
15             39              55           2096
16             39              58           1480
17             44              47            725
18             44              57           1907
19             44              63           2518
20             44              68           2962
21             52              63           1474
22             52              68           1382
23             55              63           1208
24             58              75           4552
25             62              75           2068
End
