NMec = 2020
T = 21
P = 8
Profits not ignored
Solution time = 3.054e-02
Viable tasks = 1780204
Total Profit = 27192
Task     Starting date     Ending date     Profit 
1               0              16           2059
2               0              16           3393
3               1               4            659
4               2               7            749
5               2              12            805
6               2              17           4606
7               3              11            787
8               3              12           2107
9               4              29           2552
10              6               9            562
11              6              14            777
12              6              16           1073
13              8              25           1581
14              9              29           2063
15             12              16           1105
16             12              29           1904
17             13              22           1690
18             13              29           1149
19             16              23           1448
20             19              29           1435
21             20              24            963
End
