NMec = 2020
T = 18
P = 3
Profits not ignored
Solution time = 4.393e-04
Viable tasks = 20042
Total Profit = 22416
Task     Starting date     Ending date     Profit 
1               2              23           4336
2               6              13           1292
3              10              24           2482
4              14              31           2208
5              17              31           2455
6              21              27            584
7              26              37           1418
8              27              38           2407
9              27              41           2176
10             30              49           1417
11             31              50           3920
12             33              48           1246
13             33              50           2043
14             34              58           3262
15             36              50           2020
16             36              50           1403
17             40              51           2262
18             40              53           1163
End
