NMec = 2020
T = 27
P = 7
Profits not ignored
Solution time = 3.851e-01
Viable tasks = 22749428
Total Profit = 40578
Task     Starting date     Ending date     Profit 
1               0              32           7459
2               1               6            737
3               1              17           3641
4               2               9            830
5               4              22           1756
6               4              25           5661
7               5              19           2634
8               5              20            912
9               5              24           4171
10              5              26           1707
11              6              17           2677
12              8              28           3871
13              9              24           4250
14              9              28           2222
15             11              30           3833
16             13              21           1053
17             13              33           3415
18             14              35           2653
19             17              23            759
20             17              29           2816
21             20              25            866
22             21              33           2411
23             22              30           2488
24             22              32           1075
25             25              29            993
26             30              34            758
27             32              36            669
End
