NMec = 2020
T = 32
P = 3
Profits not ignored
Solution time = 2.508e+00
Viable tasks = 159121956
Total Profit = 42569
Task     Starting date     Ending date     Profit 
1               1              25           1904
2               5              25           2652
3               6              14           2036
4               6              23           4031
5              10              35           1975
6              17              43           5604
7              20              34           2776
8              20              37           2002
9              22              34           1739
10             28              46           2318
11             31              42           1468
12             39              51           2164
13             49              62           3443
14             51              55            500
15             53              65           1633
16             55              70           1814
17             55              95           6330
18             56              74           1952
19             59              69           1509
20             60              75           3739
21             63              77            921
22             64              69            710
23             71              85           3698
24             73              87           2116
25             75              77            723
26             75              78            526
27             77              99           2940
28             84             100           1061
29             86              91           1161
30             86              97           1461
31             91              97            779
32             99             103            819
End
