NMec = 2020
T = 4
P = 1
Profits not ignored
Solution time = 1.803e-06
Viable tasks = 7
Total Profit = 2859
Task     Starting date     Ending date     Profit 
1              12              21           1359
2              15              20            654
3              15              31           2029
4              29              35           1500
5               2               0      -61992744
6               9               0              0
7               1               0      -61703704
8     -1009635932           32767      -61992744
9       -61703704           32720      -61700872
End
