NMec = 2020
T = 27
P = 4
Profits not ignored
Solution time = 6.689e-02
Viable tasks = 4030129
Total Profit = 39362
Task     Starting date     Ending date     Profit 
1               0              65           9203
2               3              39           5897
3               4              13           1889
4               4              43           5701
5               6              57          11432
6               7              21           3744
7              11              32           4466
8              16              22            919
9              16              23           1042
10             22              33           1597
11             23              33           1720
12             24              47           4784
13             25              34           1781
14             26              35           1047
15             26              45           2743
16             27              35            998
17             27              43           3615
18             31              33            310
19             33              38           1211
20             33              55           1934
21             35              46           1590
22             41              43            329
23             41              46            781
24             44              52           1151
25             45              58           2614
26             46              62           2278
27             53              60           1039
End
