NMec = 2020
T = 22
P = 4
Profits not ignored
Solution time = 1.278e-02
Viable tasks = 587648
Total Profit = 31054
Task     Starting date     Ending date     Profit 
1               1               8           1476
2               2              16           2414
3               5               7            390
4               5              52           6012
5               8              24           3180
6               9              29           4872
7              15              23           2295
8              16              29           2480
9              18              39           1789
10             21              27            804
11             21              43           2908
12             24              31           1041
13             25              51           3375
14             26              41           3608
15             27              36           2300
16             30              37           1189
17             30              38           1528
18             32              47           3908
19             36              44            822
20             37              46           1680
21             38              42            360
22             39              51           2253
End
