NMec = 2020
T = 19
P = 2
Profits not ignored
Solution time = 2.663e-04
Viable tasks = 17350
Total Profit = 23099
Task     Starting date     Ending date     Profit 
1              12              72           9149
2              13              30           4936
3              14              18           1260
4              16              27           2564
5              26              42           2124
6              26              88           7348
7              29              90           8690
8              30              71           4035
9              31              33            313
10             43              56           2038
11             45              56           2380
12             51              56           1079
13             51              58           1918
14             54              70           2559
15             58              64           1404
16             70              89           1695
17             74              76            699
18             77              94           1997
19             86              92           1789
End
