NMec = 2020
T = 16
P = 2
Profits not ignored
Solution time = 1.065e-04
Viable tasks = 6848
Total Profit = 19919
Task     Starting date     Ending date     Profit 
1               7              18           1316
2              10              44           2829
3              13              23            880
4              20              34           1460
5              25              34           2397
6              28              37           2410
7              28              49           1518
8              29              44           1404
9              29              46           2072
10             45              55           2017
11             47              61           3808
12             48              70           3046
13             53              59           1298
14             59              69           1205
15             62              77           4149
16             70              78           1737
End
