NMec = 2020
T = 20
P = 1
Profits not ignored
Solution time = 2.349e-04
Viable tasks = 12990
Total Profit = 29784
Task     Starting date     Ending date     Profit 
1               9              25           3939
2              10              16            758
3              12              19           1432
4              15              29           1159
5              16              18            517
6              20              22            340
7              33             166          25090
8              50              52            634
9              53              70           2047
10             54              68           1176
11             59              73           1394
12             70              73            678
13             76              99           4388
14             98             115           1190
15            118             121            409
16            138             144            958
17            149             173           4288
18            160             166           1046
19            178             190            755
20            182             189            714
End
