NMec = 2020
T = 25
P = 7
Profits not ignored
Solution time = 1.989e-01
Viable tasks = 10823551
Total Profit = 27026
Task     Starting date     Ending date     Profit 
1               0               7            750
2               0              20           2334
3               1               8           1185
4               1              31           2807
5               2              15           2221
6               3              18           1836
7               3              32           3145
8               5              15           1136
9               5              28           2700
10              8              22           2875
11              9              19           1040
12             11              23           1935
13             11              26           1286
14             12              31           2124
15             13              24           2123
16             13              24           1735
17             15              27           2209
18             18              22            457
19             19              29           1298
20             19              35           1896
21             21              23            665
22             21              28            553
23             23              34           2371
24             25              31            643
25             26              33            877
End
