NMec = 2020
T = 14
P = 7
Profits not ignored
Solution time = 2.401e-04
Viable tasks = 12967
Total Profit = 25659
Task     Starting date     Ending date     Profit 
1               1              11            727
2               2              28           1897
3               3              27           5073
4               3              27           3547
5               5              25           2312
6               5              26           2919
7               7              18           1746
8               7              28           4630
9               8              20           2029
10              8              29           4688
11             11              24           2211
12             16              23           1420
13             17              23           1178
14             25              26            279
End
