NMec = 2020
T = 13
P = 1
Profits not ignored
Solution time = 6.531e-06
Viable tasks = 248
Total Profit = 15431
Task     Starting date     Ending date     Profit 
1               0              13            998
2              16              18            766
3              31             127          10290
4              51              58           1446
5              52              64           1647
6              63             103           9125
7              75              88           4007
8              75              94           2109
9              88             108           3092
10             91              98           1529
11             93             101            989
12             96             128           7586
13            111             128           3096
End
