NMec = 2020
T = 14
P = 4
Profits not ignored
Solution time = 7.789e-05
Viable tasks = 3051
Total Profit = 22899
Task     Starting date     Ending date     Profit 
1               1              29           8394
2               3              24           3212
3               3              25           5145
4               6              22           3997
5               9              10            219
6               9              19           1515
7              11              29           4178
8              12              34           2073
9              13              26           2435
10             17              30           2094
11             17              33           2214
12             18              30           3198
13             21              30           1540
14             24              33            966
End
