NMec = 2020
T = 8
P = 2
Profits not ignored
Solution time = 9.803e-06
Viable tasks = 85
Total Profit = 15788
Task     Starting date     Ending date     Profit 
1               0              21           5034
2               1              34           9107
3               2              19           2138
4               4              13           1254
5               9              22           1395
6              19              37           3110
7              24              32           1647
8              27              31            548
9      1681160680           32572     1681163512
End
