NMec = 2020
T = 5
P = 4
Profits not ignored
Solution time = 3.238e-06
Viable tasks = 32
Total Profit = 6286
Task     Starting date     Ending date     Profit 
1               3              10            808
2               3              10            777
3               5              17           1485
4               8              25           1954
5              12              22           1262
6               9               0              0
7               1               0    -1427117592
8       666987860           32764    -1427406632
9     -1427117592           32711    -1427114760
End
