NMec = 2020
T = 17
P = 7
Profits not ignored
Solution time = 1.587e-03
Viable tasks = 72376
Total Profit = 28444
Task     Starting date     Ending date     Profit 
1               0              27           3906
2               1              14           2978
3               2              20           5141
4               2              27           4283
5               3               9            518
6               3              14           1955
7               3              15           2071
8               3              19           1459
9               3              27           4239
10              4              11           1730
11              6              24           2451
12              7              13           1446
13              9              21           1089
14             12              22           1368
15             12              22           1057
16             13              24           1899
17             15              26           1817
End
