NMec = 2020
T = 28
P = 1
Profits not ignored
Solution time = 5.949e-03
Viable tasks = 338688
Total Profit = 26204
Task     Starting date     Ending date     Profit 
1              18              30           2959
2              27              40           1720
3              38              42            580
4              41              47           1359
5              42              47            831
6              42              49            627
7              54              66           2306
8              54              71           2543
9              56              79           2085
10             62              74           2377
11             69              70            484
12             81              93           2689
13             84             106           3789
14             87              97           2036
15             97             108           1039
16            111             117            782
17            128             148           2141
18            132             146           1387
19            135             152           3463
20            141             160           2030
21            150             164           2053
22            178             189           1717
23            205             223           3517
24            249             269           4364
25            251             263           2226
26            251             267           3710
27            262             276           3077
28            273             276            733
End
