NMec = 2020
T = 17
P = 4
Profits not ignored
Solution time = 1.002e-03
Viable tasks = 52950
Total Profit = 21792
Task     Starting date     Ending date     Profit 
1               1               3            559
2               3              15           1051
3               5              18           1456
4               8              20           1130
5               8              32           6283
6              10              17            877
7              11              24           2577
8              15              26           1473
9              17              20            322
10             20              33           1878
11             23              37           3475
12             23              37           2458
13             27              42           1702
14             28              35           1429
15             28              39           2032
16             31              40           2711
17             33              39            900
End
