NMec = 2020
T = 4
P = 4
Profits not ignored
Solution time = 5.131e-06
Viable tasks = 16
Total Profit = 8247
Task     Starting date     Ending date     Profit 
1               5              25           2865
2              10              21           1316
3              11              27           3127
4              18              26            939
5               2               0      860987608
6               9               0              0
7               1               0      861276648
8      1469027588           32767      860987608
9       861276648           32558      861279480
End
