NMec = 2020
T = 31
P = 5
Profits not ignored
Solution time = 1.812e+00
Viable tasks = 86098890
Total Profit = 49080
Task     Starting date     Ending date     Profit 
1               1              59          12354
2               4              23           5036
3               6              19           3206
4               7              43           3573
5               8              12            984
6               8              18           1574
7               9              24           2954
8              11              20           2170
9              11              22           2564
10             11              22           2937
11             15              30           1077
12             16              36           2630
13             18              30           3009
14             25              35           2793
15             25              44           1845
16             25              47           4667
17             28              47           5289
18             29              39           1523
19             29              44           3011
20             33              40           1044
21             33              49           1829
22             34              41            756
23             35              47           1743
24             36              47           2353
25             36              48           2816
26             38              55           2502
27             39              52           3050
28             42              56           1302
29             45              58           3533
30             46              60           2817
31             47              51            929
End
