NMec = 2020
T = 32
P = 6
Profits not ignored
Solution time = 7.353e+00
Viable tasks = 359450853
Total Profit = 47715
Task     Starting date     Ending date     Profit 
1               0              53           7993
2               3              13           1142
3               3              18           2565
4               5              18           3156
5               5              23           1713
6               9              13            448
7               9              33           4583
8              11              24           2390
9              12              22           1762
10             13              32           3460
11             13              48           1936
12             14              28           1082
13             15              38           2199
14             17              30           2581
15             19              24            854
16             19              36           3831
17             24              39           1732
18             25              43           2289
19             25              46           3051
20             26              40           3130
21             31              47           3601
22             31              50           5169
23             32              47           1557
24             33              42            905
25             33              49           3990
26             34              51           1888
27             35              42           1030
28             36              43           1792
29             37              46           2278
30             37              49           1530
31             43              48            717
32             46              53            474
End
