NMec = 2020
T = 32
P = 4
Profits not ignored
Solution time = 4.419e+00
Viable tasks = 273801348
Total Profit = 39377
Task     Starting date     Ending date     Profit 
1               1              79           7855
2               2               7            727
3               6              17           1980
4               7              18           2595
5               8              13            836
6               8              51           6739
7              15              20           1269
8              15              22           1085
9              19              26            982
10             19              44           3584
11             22              32           1351
12             23              31            777
13             24              35           1013
14             24              39           2162
15             25              41           2365
16             26              46           5069
17             31              50           4357
18             33              56           2744
19             36              50           1501
20             37              49           1760
21             38              50           2211
22             43              49            991
23             43              63           2769
24             44              48            556
25             51              61           1120
26             53              54            204
27             53              61           1737
28             54              68           2757
29             54              72           2130
30             56              68           1935
31             57              61            738
32             68              78           2315
End
