NMec = 2020
T = 6
P = 4
Profits not ignored
Solution time = 2.828e-06
Viable tasks = 64
Total Profit = 7723
Task     Starting date     Ending date     Profit 
1               1              15            893
2               7               8            130
3              11              15           1257
4              12              20           1002
5              13              28           1847
6              16              29           2594
7               1               0      420571624
8     -1009580460           32766      420282584
9       420571624           32746      420574456
End
