NMec = 2020
T = 16
P = 1
Profits not ignored
Solution time = 2.994e-05
Viable tasks = 1740
Total Profit = 11339
Task     Starting date     Ending date     Profit 
1               1               3            395
2               1              10           1371
3               3              28           4374
4               4               7            522
5              12              17            824
6              12              35           3692
7              35              42            844
8              36              56           3978
9              39              56           3033
10             41              51           1103
11             45              61           3218
12             56              69           1791
13             84              86            530
14             93             101            628
15             94              97            375
16            119             132           1140
End
