NMec = 2020
T = 21
P = 6
Profits not ignored
Solution time = 1.519e-02
Viable tasks = 664387
Total Profit = 26696
Task     Starting date     Ending date     Profit 
1               0              19           2180
2               0              28           3362
3               1              14           1525
4               4              15           3126
5               4              31           3263
6               6              18           2606
7               7              16           2122
8               7              17           1171
9               7              27           2535
10             11              19           1289
11             12              21            875
12             15              30           1984
13             15              31           3408
14             16              26            891
15             17              25           2475
16             19              28            876
17             20              27           1977
18             20              28           1380
19             20              30           2066
20             22              33           1849
21             24              31           1832
End
