NMec = 2020
T = 21
P = 3
Profits not ignored
Solution time = 1.170e-03
Viable tasks = 68454
Total Profit = 34196
Task     Starting date     Ending date     Profit 
1               1              69          15820
2               4              11           1499
3               4              13           2221
4              11              47           4328
5              21              26            721
6              21              63           5572
7              26              40           1856
8              27              33           1625
9              28              40           1436
10             28              51           6265
11             29              37            956
12             30              41           3243
13             31              39            907
14             32              54           3229
15             36              44           1387
16             37              40            516
17             38              57           2488
18             44              48            644
19             47              61           2524
20             50              69           2538
21             54              63           1245
End
