NMec = 2020
T = 5
P = 2
Profits not ignored
Solution time = 2.228e-06
Viable tasks = 26
Total Profit = 6505
Task     Starting date     Ending date     Profit 
1               6              12           1097
2              10              23           2964
3              11              20           2048
4              17              26           2002
5              24              27            442
6               9               0              0
7               1               0     2064763368
8       790483812           32766     2064474328
9      2064763368           32525     2064766200
End
