NMec = 2020
T = 18
P = 1
Profits not ignored
Solution time = 4.675e-05
Viable tasks = 2742
Total Profit = 19119
Task     Starting date     Ending date     Profit 
1              10              23           2377
2              20              40           4520
3              22              43           1940
4              27              47           2554
5              42              50            940
6              45              57           1329
7              47             152           7519
8              67              80           1730
9              77              89           2557
10             81             105           3087
11            108             121           2822
12            122             127            347
13            122             132           1682
14            123             131           1290
15            125             135           2117
16            131             138           1988
17            155             172           3296
18            162             166            784
End
