NMec = 2020
T = 29
P = 8
Profits not ignored
Solution time = 2.905e+00
Viable tasks = 142282888
Total Profit = 39777
Task     Starting date     Ending date     Profit 
1               1               7            671
2               1              36           3306
3               2               8           1218
4               2               8            443
5               2              12           1672
6               3              21           2656
7               3              36           3114
8               6              19           1255
9               7              21           1822
10              7              26           1960
11              8              35           4967
12              8              36           5585
13              9              14            770
14              9              17           1128
15              9              22           3121
16             12              15            281
17             12              32           2700
18             14              23           1340
19             14              31           5059
20             14              33           2262
21             14              34           1944
22             15              19           1033
23             15              27           1010
24             19              35           2113
25             19              35           4128
26             20              36           2471
27             20              36           1820
28             25              29            281
29             27              33           1091
End
