NMec = 2020
T = 17
P = 8
Profits not ignored
Solution time = 2.269e-03
Viable tasks = 123499
Total Profit = 31051
Task     Starting date     Ending date     Profit 
1               0              17           4377
2               1              27           2766
3               2              13           2255
4               2              19           2007
5               5              15           1241
6               6              25           2851
7               7              15           2057
8              10              29           4421
9              13              26           1867
10             14              22           1245
11             15              22            791
12             15              24            768
13             17              29           2913
14             19              27           1586
15             19              28           1580
16             23              29           1142
17             24              27            610
End
