NMec = 2020
T = 14
P = 3
Profits not ignored
Solution time = 1.407e-04
Viable tasks = 6668
Total Profit = 18376
Task     Starting date     Ending date     Profit 
1               0              22           2610
2               2              10            582
3               6              17           1600
4              13              17            982
5              15              36           3790
6              17              36           5305
7              18              25           1467
8              19              30           2208
9              19              38           4478
10             21              27            554
11             26              28            416
12             31              45           2275
13             33              36            657
14             37              44            946
End
