NMec = 2020
T = 20
P = 6
Profits not ignored
Solution time = 7.452e-03
Viable tasks = 349370
Total Profit = 29448
Task     Starting date     Ending date     Profit 
1               0               5            390
2               0              19           4450
3               0              32           5539
4               3              16           2401
5               4              19           1688
6               4              26           3339
7               5              26           2124
8               7              18           1546
9              10              26            931
10             10              28           3753
11             11              31           2007
12             13              20           1572
13             14              21            916
14             17              27           1714
15             17              31           1450
16             18              31           3700
17             21              30           1668
18             22              29           1254
19             26              32            581
20             27              32           1266
End
