NMec = 2020
T = 20
P = 4
Profits not ignored
Solution time = 3.088e-03
Viable tasks = 155510
Total Profit = 36148
Task     Starting date     Ending date     Profit 
1               1              17           2886
2               1              17           4741
3               1              21           2220
4               2              13           1548
5               3              49           8218
6               5              29           6188
7               8              34           7669
8               9              20           1483
9              10              14            875
10             14              26           3400
11             15              30           3447
12             20              39           2016
13             20              48           2407
14             22              25            251
15             22              38           3392
16             24              42           2397
17             26              41           3944
18             28              42           4228
19             38              48           1354
20             43              49            795
End
