NMec = 2020
T = 23
P = 3
Profits not ignored
Solution time = 6.868e-03
Viable tasks = 454108
Total Profit = 37157
Task     Starting date     Ending date     Profit 
1               0               8            799
2               4              71          14374
3               6              21           1778
4               7              14            776
5              10              57          11184
6              12              29           2299
7              16              36           2226
8              22              38           2485
9              24              27            744
10             32              47           1805
11             32              47           3232
12             34              61           2387
13             35              61           3976
14             36              47           3553
15             37              68           2278
16             38              50           1931
17             43              44            324
18             46              56            835
19             50              59            678
20             55              62           1151
21             56              58            742
22             64              73           1732
23             64              75           1842
End
